"id","document_name","description"
"44","F1426476.pdf","Mountain View Country Estate like none other in the Valley. This exquisite property is the complete package for the discerning Buyer who wants everything. The home has had a major addition/renovation with only the finest materials and features money can buy. It boasts over 15,000 sqft of living space not including the Indoor Hockey Rink, as well as Indoor Pool and outdoor Waterfall Pool. Deluxe Hip Roof Barn with 4 large birthing stalls, riding ring, paddock & massive studio above. Separate Guest House, covered parking for up to 10 cars or convert the Rink to 5000 sqft Garage. 200 Kilowatt Generator, air conditioning, air exchangers & radiant heat. Spectacular Great Room and many sundecks and patios. Complete privacy nestled behind lush vegetation & hedges with 2 Gates & thousands of feet of paved driveways with glorious Mountain Views. This home is the epitome of luxury and design with far too many features to list. View video and more photos.  "
"45","F1429622.pdf","This magnificent property is now being aired on Dream Homes Canada and was also Mayor Channings mansion on the TV show Psych. A masterpiece of design and workmanship that has everything that you are looking for. It has an elegant, sophisticated feel without being garish and with over 10,000 sq ft of living area masterfully placed on this one acre ocean view lot it is sure not to disappoint. The property is 100% private, gated and located at the end of one of the quietest streets in the area. Enjoy the lush gardens in the front yard and endless ocean and gulf island views in your back yard. With your own indoor/outdoor pool & Jacuzzi, indoor gym, state of the art theatre and games room who needs to leave the house.  "
"46","F1430137.pdf","15.99AC SOUTH LANGLEY EQUESTRIAN ESTATE PROPERTY WITH TWO STUNNING HOMES - INDOOR AND OUTDOOR RIDING ARENAS*BARN*ENCLOSED HOT TUB AND POOL*EQUIPMENT AND FARM STORAGE PLUS CARETAKER ACC AND SO MUCH MORE.6,000sqft 2 storey main house, great rm concept with high ceilings,gourmet kitch,flr to ceiling river rock f/p,covered BBQ area with seating can accom any size gathering.3 bdrms up with ensuites,games rm and nanny quarters above garage.3,400sqft 3bdrm luxurious custom log home with hand picked picked logs,finished on three levels with stunning reclaimed barn wood cabinets and flr to ceiling rock f/p looking out to slate patio overlooking the pond with waterfall and outdoor BBQ area with full s/s kitchen.Immaculate and well drained.  "
"47","F1433697.pdf","Spectacular 126 Acre Retreat literally within a couple of blocks of incredible Thunderbird Grand Prix Facility! Beautiful rolling property with cleared areas, creeks, 2 road frontages & backs onto Ponder Park. Remodelled 5Bdrm Character home Plus a Deluxe 600sqft Cottage w/loft, A/C & heat pump Plus 2 quaint (dry) cabins Plus a Fully developed RV Site surrounding a picturesque pond. Property has been approved by the ALR to be subdivided into 2 lots. Very high rent during Grand Prix Season. There is also a large existing Barn, several acres in Blueberries & numerous Fruit Trees. So many possibilities here-Equestrian, Agro Tourism, Exec. Family Estate, Subdivide & more. Easy F/way access too. Once in a Lifetime Opportunity! * PREC - Personal Real Estate Corporation  "
"48","F1436762.pdf","New custom home being built on 4.35 acres in High Point Equestrian Estates. Imagine coming home to your own country estate. Constructed by Seiba Properties, builder of the 2013 BC Childrens Lottery, this 7 bdrm, 6 bathrm home has an innovative plan that has a modern feel with oversized rooms, voluminous ceilings and useful multifunction spaces. The main level master bedroom is bright and sunny with french doors leading to your private deck. The gourmet kitchen offers professional grade appliances and large island with eating bar, which leads to your dining & living rooms ideal for entertaining. The lower level includes a large 1 bdrm suite, gym with sauna & change room, large rec room, bedroom & storage.  "
"49","F1437417.pdf","ONE OF THE BEST OCEAN VIEW HOMES ON THE PENINSULA...this stunning Ocean Front property is one of a kind...unobstructed OCEAN VIEWS from each level of the home. 10724 sq ft prime property (2 separate lots included). 4 bedroom/5bath 4260 sqft significantly renovated home including: newer kitchen, high end appliances, fresh interior paint throughout, temp. control wine cellar......Master suite with SPECTACULAR OCEAN VIEWS.... 889 sq ft of decks to take advantage of the outstanding views/while entertaining family/friends...watch the whales from your deck and the eagles soar above you.  "
"50","F1439755.pdf","A world class contemporary classic master crafted by a well known European inspired builder. This one of a kind craftsman estate style home is situated on 1.13 Acre with southern exposure (lots of natural light and sunshine) in sought after Elgin/Chantrell. The creative design of the home presents a very nice flow throughout the house. Home features approx 8000 sqft & 7 bedrms all with ensuites. The master suite is over 1200 sqft including a relaxing sitting area and exotic spa ensuite with sauna and steam shower. This is an inspiring home for those who appreciate the best. * PREC - Personal Real Estate Corporation  "
"51","F1439887.pdf","Ocean View Galore! This stunning almost New Dream Home is nestled hillside on 11,600 sqft lot and boasts over 6600 sqft of living space. Superb quality throughout with vaulted ceilings, gourmet chefs kitchen, Master on the Main, deluxe ensuite & dressing room, 6 baths, stunning views from all 3 floors, oversized covered sundeck with hottub off the Master, gorgeous inground pool, massive patios, gated grounds, large oversized 3 car garage (48x26) low maintenance and this treasure is one of a kind.  "
"52","F1439898.pdf","Stunning custom built home on 1.25 acres. Boasting over 8600 sqft of living space, 5 bed, 6.5 bath this home is impressive. Massive bedrooms all with walk-in closets & ensuites, coffered ceilings & grand moldings throughout, custom marble tiles with designer inlays, in floor heating, smart control & security systems, gorgeous handscraped floors, designer carpet, oversized chefs island, huge wok kitchen, large windows, tons of natural light, a huge patio, deluxe BBQ area, private yard, workshop & playground are just some of this homes features. Master suite features french doors to a separate office, a sauna, huge walk-in closet with island & custom shelving, a spa inspired bath & room for a sitting area. This home is a must see. * PREC - Personal Real Estate Corporation  "
"53","F1440272.pdf","Stunning property on a 2 acre Estate lot in the Prestigious High Point Equestrian Estates. Rarely available location,This Custom built by current owners home was architecturally designed and constructed with superb quality through-out. Over 8650 Sq. ft of luxury on 3 fully finished levels including superb attention to detail in all aspects of construction. Crown moldings, wainscoting an elevator,full genorator, the list goes on. 5 bedrooms all ensuited including an in-law, nanny or separate master retreat on the upper level. Master bedroom is grand with high ceilings and spa like ensuite, overlooking the rear yard and pool w/ full bathroom/change room. Main level with very generous room sizes flows beautifully. * PREC - Personal Real Estate Corporation  "
"54","F1440892.pdf","Great location! Great View! Great Opportunity! A stunning private gated 9,271 sqft estate sitting on a 31,624 sqft lot offering spacious high ceilings,HRV , 9 bdrms, 8 baths & entertainment sized living & dining rm w/gorgeous scenery. Master bdrm w/380 sqft covered balcony facing private yard. Features library, wok ktch, media rm, solar, attic, sauna, winery, games, recreation rm & BBQ w/wood FP. Home security includes surveillance cameras & covered by home Warranty insurance. Enjoy a garden pavilion, big veranda, & beautiful panorama of North Shore Mtns! Nearby South Surrey Downtown; Grandview Corners shopping ctr, Walmart, walking distance to Southridge Private school & Sunnyside Elem. School. Just move in!  "
"55","F1442790.pdf","PRIVATE MANSION! Live like a king in this gorgeous European style home in highly desired Elgin Park neighborhood. Grand entrance opens to almost 5800 sq ft featuring 5 spacious bedrooms & 5 bathrooms. Huge master bedroom with feature fireplace. Bright kitchen with vaulted ceilings, sky light, large island and pantry. Quiet and private location this home has a separate garage, playground, full size tennis court and patio BBQ perfect for entertaining! Close to the beach, restaurants, shopping and desired schools Chantrell Creek Elementary and Elgin Park Secondary. This home has it all, call now to view!  "
"56","N3078731.pdf","Backing On To The National Golf Course,Magnificent Rare 4Bdrm Bungalow Nestled On Approx 1 Acre Of Privacy In A Cul De Sac Location.Home Is Of True Timeless Elegance Perfect For Entertaining&Comfortable Fam Living.Dramatic High Ceilings,Soaring High Wndws,Meticulous Craftsmanship,Exquisite Materials,Beautiful Landscaped Grdns W/Great View Of Golf Course.Finished Bsmt W/Great Rm,Dining Rm,Fam Rm,Kit,Climatized Wine Rm W/Red Moghanny Shelving,Nanny Quarter,Gym, **** EXTRAS **** B/I Wall Units,Downsview Kitchen Cabinetry,All Window Coverings,S/S Stove(2),Subzero Fridge(2),Wine Cellar,Closet Organizers Thruout,Etched Stainless Glass Window,Iron Pickets,Alarm System,Central Vac,2Furnaces,Sprinkler System  "
"57","N3130306.pdf","Location! Location! Location! Great Opportunity To Own 47 Picturesque Acres With A Breath-Taking View Of Toronto. Located On The North East Corner Of Kennedy Rd And Bloomington Rd, With Over 1200 Feet Of Frontage On Each. Excellent Location For Potential Future Development. Minutes From The 404 Highway And The Town Of "
"58","N3139956.pdf","Yonge/ Hwy 7 * Large 7+2 Bedroom, 9 Wash Estate On * Prestigious ~ Westwood Lane ~ In South Richvale- Richmond Hill* 4 Car Garage! * 12 Feet Ceilings On Main Floor! ~ 11 Feet Ceilings On 2nd Floor! * Cathedral Foyer! * Backyard Entertaining Oasis With Saltwater Swimming Pool! * Sports Court * Cabana! * Covered Veranda With Fireplace And Audio/ Visual Equip. Master Terrace!!! Quiet Location! S Richmond Hill Golf & Country Club! * **** EXTRAS **** Stainless Steel : Fridge, 2 Ovens, Microwave/ Warming, Gas Stove, 2 Washer, 2 Dryers, All Custom Electric Light Fixtures,Master Ensuite With Heated Floors.!~ Salt Water Swimming Pool With Cabana With 3 Piece Washroom, Fenced Sports Court!~  "
"59","N3171343.pdf","One Of The Most Prized Estate Homes In South Richvale. Built By Award Winning Builder Segal Homes. This Magnificent Transitional Home Is The True Definition Of Luxury. Designed For The Modern Buyer Looking For A Real """"One Of A Kind"""" Home. Situated In The Heart Of """"Forest Hill North"""", This Home Offers Approx 10,000Sq Ft Of Living Space+An Additional 3000 Sq Ft Of Outdoor Living Space. Words Can Not Describe The Magnificence Of This Home. **** EXTRAS **** *Luxury Estate Home With Radiant Heated Flooring In Bsmt & Tiled Areas, Heated Garages, Multiple Fireplace, Commercial Grade Outdoor Kitchen With High End Appliances+ A Schwank Gas Heaters So You Can Enjoy Outdoor Living All Year Round*  "
"60","N3183480.pdf","This Magnificent Family Estate Is Truly A One-Of-A-Kind Home And Ideal For A Large Family Who Loves To Entertain. There Are Two Covered Outdoor Patios, An Outdoor Gazebo With A Fully Equipped Kitchen, A Fully Open-Concept Basement And Private Outdoor Pool. Every Square Inch Of This Spectacular Home Has Been Thoughtfully Designed And Customized With Only The Finest Materials And Fixtures Imported From Around The World. In Pristine Condition. **** EXTRAS **** All Appliances. Most "
"61","N3202699.pdf","Luxurious Sprawling Estate Home Situated On Approx.263 Ft Of Shoreline On Kempenfelt Bay. This Home Provides Many Upgrades + Is A Great Escape For Relaxation And Entertaining.Boasting 9.2 Bedrooms,10.3 Bathrooms,10 Fireplaces + Multiple Family Rooms. Indoor Activities Are Encouraged In The Games + Media Room,Basketball + Racquetball Courts.The Stately Grounds Host Outdoor Splendor With Inground Pool, Fireplace + Kitchen. Ample Indoor Parking For 8 Vehicles. **** EXTRAS **** Exclusions: All - Sold As Is As Per Schedule A.  "
"62","SJ152241.pdf","Old world elegance prevails in this stone built waterfront estate located in the heart of Rothesay, New Brunswick on the spectacular Kennebecasis River. Handsome details enrich the well proportioned rooms with primary living space arranged for expansive river views and outdoor living and incredible sunsets. An almost unheard of 4.5 acre site where private sandy beach front (250 feet) on Cudlips Cove affords deep water anchorage in your backyard. Here, a rare opportunity to make this your family address for generations to come: golf course, private schools and the centre of town a short walk away.  Location Description Rothesay Road to Station Rd to Rothesay Park  "
"63","V1023291.pdf","Look out over a spectacular 360-degree panorama that encircles this property, bringing one-of-a-kind alpine views to your doorstep. Built by award-winning Kyber Developments Ltd, it offers six bedrooms, eight baths and dramatic vaulted ceilings that showcase exquisite post and beam construction. With a gourmet kitchen, wine cellar, media room and state of the art electrical system puts controls at your fingertips from anywhere around the globe, this home is a rare find. Ski-in and out or take in all the amenities, located just minutes away in Whistler Village.  "
"64","V1041596.pdf","Set in desirable Lakecrest, atop the highest point in the development and overlooking Alta Lake, this contemporary mountain estate home promises a lifetime of unobstructed views from every room. The living area is open and airy, with cantilevered great room, exposed beams, architectural glass walls, Brazilian cherry wide plank hardwood floors, maple millwork and native sandstone all coming together in a pristine palette. With five spacious bedrooms including a top floor master suite, it offers every modern luxury at the touch of a button.  "
"65","V1057605.pdf","Sensational custom home, built to the highest standards, with no expense spared! Situated on one of the largest lots in Nicklaus North, to take in the magnificent views of Green Lake and all the surrounding majestic mountains! Located on the Valley Trail, out of reach of any errant golf balls and short term rental homes! The home has been designed for the most discerning taste, to accommodate family and friends, with the ultimate privacy, to incorporate quiet spaces and social areas, inside and out! Words are difficult to find to describe this masterpiece, the home has to be seen to be appreciated!  "
"66","V1067018.pdf","Property is sold AS IS/WHERE IS.  Building Architecture Style 2 Level  Basement Features Unknown  Basement Type Full (Unknown)  Bathrooms (Total) 4  Fireplace 2  Floor Space 2675 sqft  Style Detached  Land Frontage 74 ft  Walk Score® Walk Score®: Somewhat Walkable  66  http://www.realtor.ca/Residential/Single-Family/14479741/3862-W-41ST-AV-Vancouver-...  6/2/2015  3862 W 41ST AV, Vancouver, British Columbia V6N3G1 - V1067018 | Realtor.ca  Page 2 of 2  Michelle Yu Personal Real Estate Corporation  604-263-2823  RE/MAX Real Estate Services N410 - 650 West 41st Avenue Vancouver, BC   V5Z2M9 604-263-2823 Fax: 604-263-1057  Data provided by : Real Estate Board Of Greater Vancouver All information displayed is believed to be accurate but is not guaranteed and should be independently verified. No warranties or representations are made of any kind.  http://www.realtor.ca/Residential/Single-Family/14479741/3862-W-41ST-AV-Vancouver-...  6/2/2015  "
"67","V1076667.pdf","Paranomic ocean & city view! sit on a commanding lot in luxury Chartwell. Classic design & fine details incl coffered ceilings, crown moldings, stained dark oak hardwood, marble & granite created a timeless elegant home. The gracious foyer on the main flr opens to the formal LR w/unique fireplace & DR, Beaut custom gourmet kitch. w/marble counter flowing to the EATAR & FAMRM which opens out to the large deck, perfect for BBQ. Addit. feats incl 6 enste BD incl the lux master enste with Travertine, steam shower & Jacuzzi tub looking out to ocean view, media rm, wine rm, swimming pool, garden, Gated front entrance, triple car garage, heated drive way. this houser has it all! Openhouse: Mar. 28&29 2:00pm to 4:00pm  "
"68","V1078325.pdf","Exquisite custom built contemporary home in prestigious Shaughnessy designed by renowned architect & constructed by European Builder. This spectacular home of over 5700 SF features double height entry with granite slab flooring, high ceiling throughout, Douglas fir wood framed windows, maple cabinets & maple doors, & maple hardwood floors on main & upper levels, gourmet kitchen & wok kitchen w/high end S/S appliances incl Subzero fridge, Miele oven, cooktop & D/W. Upper level has 4 bdrms, some w/mountain views. Walkout basement has a theatre room, wet bar, huge recreation room & 2 guest bedrooms. Beautifully landscaped matured garden with a covered porch in a private setting. Schools & parks are close by.  "
"69","V1080274.pdf","View, view, view! Breathtaking city and water view!BETTER THAN BRAND NEW! This contemporary residence sits on a massive 14811 SF lot at the beautiful Rockridge neighborhood of West Vancouver. Completely renovated with modern touches throughout. Excellent open floor plan is a true ""wow factor"". An entire top floor as master retreat guarantees plenty of privacy as well as the best view. Bedrooms all with unobstructed view! An outdoor heated swimming pool, and huge patio to enjoy fun/relaxing time with kids. Luxury living at its best! Must see!  "
"70","V1084554.pdf","Stunning unobstructed ocean view property located in Prime Rockridge area in a cul-de-sac with total privacy; exquisite architecture & landscaping with a complete renovation in 2002. Negative edge pool & private garden paths. Luxurious lifestyle with 4 bedrooms & ensuite baths. Separate entrance to guest suite with its own elevator & walls of glass overlooking the city skyline. Must view for exceptional experience!  "
"71","V1086138.pdf",".  Building Architecture Style 2 Level  Basement Features Unknown  Basement Type Full (Unknown)  Bathrooms (Total) 6  Fireplace 4  Floor Space 4708 sqft  Style Detached  Walk Score® Walk Score®: Car-Dependent  3  Charles Li 604-788-0111  Royal Pacific Realty Corp. N550 - 650 West 41st Ave Vancouver, BC   V5Z2M9 604-266-8989 Fax: 604-266-6545  Data provided by : Real Estate Board Of Greater Vancouver All information displayed is believed to be accurate but is not guaranteed and should be independently verified. No warranties or representations are made of any kind.  http://www.realtor.ca/Residential/Single-Family/14912629/58-BONNYMUIR-PL-West-Va... 6/2/2015  "
"72","V1088335.pdf","Grand family home in the heart of Bayridge. Finished with the finest materials, extensive millwork and numerous built-ins, this home is an entertainer dream. Stunning 3 level home with a very open floor plan boasting large windows, vaultedceilings, 5 bedrooms plus large office, 4 ensuites, massive kitchen and family room area, radiant infloor heating and large deck spaces. Other features include gorgeous waterfall, built-in sound, home theater, wine room, wet bar and too much to list. West bay Elementary Parks and easy highway access.  "
"73","V1088985.pdf","This Unique Exceptional Spacious Grand Spanish Hacienda-Style Rancher with five bedroom ensuites, one multifunctional office and generous basement. Totally renovated in 2012 with top-of-the-line qulity. Features include faux finishing, wainscotting, French Louise XIV-style crown moulding, crackajack hardwood floor, granite & marble. Brightly open plan, rolling feel, great to entertain in. Serene & Tranquil in UBC Prestigious location with U-Hill Elementary and U-Hill Secondary catchment, all convenience of Shops and Golf and Recreation Facilities.  "
"74","V1092694.pdf","Grand family home in the heart of Bayridge. Finished with the finest materials, extensive millwork and numerous built-ins, this home is an entertainer dream. Stunning 3 level home with a very open floor plan boasting large windows, vaultedceilings, 5 bedrooms plus large office, 4 ensuites, massive kitchen and family room area, radiant infloor heating and large deck spaces. Other features include gorgeous waterfall, built-in sound, home theater, wine room, wet bar and too much to list. West bay Elementary Parks and easy highway access.  "
"75","V1095804.pdf","Rarely available frontage 293.83x1278.18, very close to Residential & commercial are just less than 2 minutes, great holding property for investor or developer for future. Land Value only, subject to show inside the house, no walking on property, by appointment only.  "
"76","V1095995.pdf","Location, renowned 80-Acre blueberry farm, top crop soils, fully tile drained, local Canadian Family owner, operator, prof. managed 30 years+. Learn Success blueprint/best practices direct from owner-prepared to train successor or lease to other eager farmers after purchase? GAAP Cert. highest standard farm, 9 varieties of blueberries, incl duke/bluecrop & hardiblue, new/state of the art 640 SqFt irrig. & fert. pump house, full harvest equipment list included, over 23,000 SqFt farm buildings, 2 homes include 2,800 SqFt 4-bedroom rancher & newer 3-bedroom mobile - immaculate. Additional 10 acres planted in 2014 with anticipated yearly production increasing. Hwy #99 access is 1.5 km. Vancouver D/T 30 mins, Richmond/White Rock 15 mins. Maple Card & Canadian Visa opportunity. Call for Tour & Brochure. Property also Listed on MLS as COMMERCIAL/AGRI-BUSINESS. MLS# F3401554.  "
"77","V1096160.pdf","New home construction right on the slopes of Whistler Mountain, with magnificent views overlooking the Valley and Alta Lake on what is considered to be THE BEST skiin/ski-out lot in Kadenwood! Within this 6,400 square ft home you will find 5 bedrooms, which includes the potential for 2 master suites, an additional den/office space, games room, an elevator and a large, unfinished 1,400 sq/ft basement area. The unfinished area could provide 2 additional bedrooms, laundry room, 2 bathrooms, a steam room and a gym. With estimated potential revenues of $215,100 this property is a great investment option.  "
"78","V1097285.pdf","All measurements approximate, the buyer to verify.  "
"79","V1097961.pdf","Huge home over 7,800 square ft of luxury on 21,829 sqft. South facing lot in the street of multi million dollar mansions. Top quality throughout with marble flooring, walls. Living & dining rm all finished with mahogany wood up to the ceiling.Lots of woodwork in the Den downstairs + open Library upstairs. Cedar finished walk-in closet in the main floor. Environment friendly & very economical Geothermal heating system. Top of the line appliances, huge kitchen & family rm with fish tank and built in entertainment center circular Play rm/sunroom with the view of huge back yard & mature landscaping. Built in Barbeque 5 bedrms up all with ensuites. 2 master bedrooms with fireplaces & walk in closets. Rare find such luxury manison in RMD.  "
"80","V1099142.pdf","A luxurious custom residence appointed with the finest quality & refined elegance situated on a lush south-facing property in sought-after West Bay. This magnificent hm offers 5530 sq.ft on 3 levels & features 5 ensuited bdrms w/private terraces incl a breathtaking master with spa-like ensuite, custom solid Maple kitchen with top of the line appliances, breakfast bar, large family, living & dining rms for entertaining, rich Oak hardwood flooring, office, theatre rm, temp controlled wine cellar, 3-car garage & ample storage. Manicured gardens, private sundrenched patios with o/d BBQ centre, hot tub & irrigated landscaping with garden lighting. This ocean view residence is walking dist to beaches, McKechnie Park & West Bay School.  "
"81","V1099185.pdf","Updated and beautiful home in most convenient part of South Granville. This over 4900sqft home has been recently completely REMODELED in 2014 with modern design. Lots of updates such as NEW: interior & exterior paint, carpet, kitchen with luxurious cabinets, granite countertops, Thermador S/S appliances, crown mouldings, chandelier & lightings, bathrooms & much more. Total of 6 bdrms (4 large bdrms up, all ensuites), main floor with double height foyer, office & an ensuite. Ground level walk out basement with a huge rec rm /w wet bar, home theatre, sauna rm & 1 bedrm. 3 car garage & landscaped garden. Magee Sec & Maple Grove Elem catchments. Close to shopping, restaurants & cafe in South Granville, mins to UBC, downtown & Richmond.  "
"82","V1100978.pdf","Gated 8850 square ft Award winning home (exterior and interior design), VIEWS overlooking Fraser River and lights of Airport. Huge flat lot : 25,661 sq ft, 97 ft frontage, 285 ft deep. Elegant front entry, double staircase, high main flr ceils,marble & granite finishings throughout. Main flr has mstr ensuite bdrm + additional ensuite bdrm. Top flr has 2nd mstr ensuite + 3 large ensuite bdrms. Near new luxury kit with Miele gas & electric cooktops + Chinese kit area. Unique sauna/hot tub/shower/ exercise rm. Lower level has new media r,dance flor, ping pong table area, 2 bdrms/baths. Rear yard large enough for tennis court & swimming pool. 4 car attached side garage. One of a kind view home. Open house Sun, Feb 22, 2:00pm to 4:00pm.  "
"83","V1101014.pdf","""Sensational Waterfront Estate "" Spectacular South Facing views from the Lions Gate Bridge to Vancouver Island.Incredible architectural contemporary home in this stunning seaside setting. Great opportunity to hold or build your dream waterfront home !  "
"84","V1103720.pdf","A sensational luxury custom log home situated on a trophy view estate property, perched high on the most prestigious Sunridge Plateau, boasting magnificent views of Whistler Valley, the golf course and majestic snowcapped mountains! This is truly the epitome of Whister living! This four bedroom ultra-luxurious custom built log home offers approx. 5,000 sq.ft. of expansive living on 3 spacious levels. The exceptional quality & craftsmanship is evident throughout the entire home. This beautifully appointed luxury mountain residence is located adjacent to the ski slopes and walking distance to Whistler Village.  "
"85","V1104865.pdf","The most elegant majestic mansion in prestige British Properties on a 26,450 square ft lot surrounded by evergreen trees. The elegant foyer spills into luxury designed living rm and dining rm. Kitchen cleverly extended into family rm sandwiched between a wall to wall window with a view of front garden and back swimming pool. The pool equipped with infinity edge Hot Tub. Upstairs master bdrm is like a mansion within a mansion, complete with a fireplace and a 5 star bathrm with balcony overlook the city view plus 3 large ensuited bedrooms with vaulted ceilings. The lower level has rec room/media room, wet bar, gym, wine cellar & 2 bedrooms with ensuite. A pleasure to show.  "
"86","V1104995.pdf","Bold and Chic. This half duplex unit, designed by renonwed Nick Sully, captures mountain and city views on the picturesque Vancouver Golden Mile. Open-concept seaside living. Detailed craftsmanship incl. expose Douglas Fir plate high ceilings and matching select-grade wood cabinetry & indoor/outdoor joint living seamlessly w/extra high bi fold doors. 3 bdrms, 3 baths and a study. Stylish kitchen with high end appliances & carefree caesarstone counter. Radiant concrete floors, expansive windows, lots of skylights & natural light thru-out. A short stroll to Kits. Beach, eateries & W. 4th ave shopping. Other half-duplex, 2840 W 1st Ave also Listed on MLS for Sale, V1104999 /Both Duplexes also Listed as Multi-Family, V1102277.  "
"87","V1104999.pdf","Bold & chic. This upper unit of duplex, designed by renowned Nick Sully, captures mountain & city views on the pictureque Vancouver Golden Mile. Open concept seaside living. Detailed craftsmanship incl. expose Douglas Fir plate high ceilings & matching select grade wood cabinetry & indoor/outdoor joint living seamlessly w/extra high bi fold doors. 2 bdrms/2 bths & an office. Stylish kit w/high end appls & carefree caesarstone counter. Radiant concrete flrs, in-hse elevator, expansive windows, lots of skylights & natural light thru-out. A short stroll to Kits. Beach, eateries & W 4th Ave shopping. Other half-duplex, 2842 W 1st Ave also Listed on MLS for Sale, V1104995 /Both Duplexes also Listed as Multi-Family - V1102277.  "
"88","V1105177.pdf","Luxurious European style 2002 built home in prestigious British Properties. Step onto the property on the spacious leveled driveway with city & ocean views. Beautifully finished throughout the home with high ceiling on main floor & custom built open kitchen with top appliances. French doors open to a lovely tiled porch & private backyard for entertaining with views of the city. The basement is fully completed with quality finishes, perfect for inlaws & a media room for family entertainment. Hardwood floors on the main floor & basement level, built in vacuum system, & in floor radiant heating throughout the home are just some features of this 6 bedroom home. Call for your private viewing & please allow 24 hrs notice.  "
"89","V1105289.pdf","Unique gated private estate on a quiet cul-de-sac in central Ambleside with ocean view. Half an acre of a beautifully landscaped property that features a stunning modern style home with 5 bedrooms (4 with ensuite bathrooms), a four car garage, a large gourmet kitchen and wraparound decks. Perfect for entertaining! A second kitchen and space for an extended family too. Walking distance to schools. Irreplaceable!!  "
"90","V1105996.pdf","Heart of Vancouver- Shaughnessy. Custom built 6300 sqft luxurious mansion located in over 14000sqft lot, high ceiling foyer w/grand chandelier, classy tile floor and detailed moldings throughout, gourmet+wok kitchens granite countertop island, w/high-end appliances, air-conditioning, HRV. 2 Deluxe masters+2 huge ensuites bedrooms, huge walk-in closet & jacuzzi tub. Basement with living room, kitchen, and 4 huge bedrooms, media+gym rooms, Covered porch off the nook great for entertaining & BBQ. Landscaped garden & 4 car garage with security gate. Steps away from York House, Shaughnessy Elem & little flower private schools. Quiet location and close to everything. A pleasure to show!!!  Building Architecture Style 2 Level  Basement Features Unknown  Basement Type Unknown (Finished)  Bathrooms (Total) 8  Fireplace 2  Floor Space 6242 sqft  Style Detached  Walk Score® Walk Score®: Car-Dependent  44  "
"91","V1106471.pdf","The most magnificent penthouse unit in ""Versante"". Enjoy the 360 degree panoramic view from 2 balconies. Unique interior design and decoration. Over 3,700 SF living space features huge living rm, dining rm, family rm, office, and rarely seen 2 kitchens design: 1 is a wok kitchen with a pantry over 100 SF. All 3 bedrooms have ensuite bathroom. Hugh Master BR with 2 walk-in closet, 6 pieces ensuite, and own private balcony with over 300 SF. Radiant heat in all ensuites and kitchens; air conditioning through out the unit. Gigantic North side balcony with almost 1,500 SF viewing the Northshore mountains and city. The most central & convenient location, steps to Lansdowne Mall, close to skytrain, restaurants, & everything you need!  "
"92","V1106553.pdf","RARE OPPORTUNITY ! INCREDIBLE PROPERTY FOR HOLDING OR BUILD YOUR DREAM HOME ON THIS HUGE LEVEL LOT IN PRESTIGIOUS SW MARINE LOCATION. NOTE LOT SIZE 95 X 231 (21,945 SQ. FT.) House built in 1941, over 4,000 sq.ft. very well kept. Features grand principal rooms on the main level, total 4 bedroom, 3.5 baths, gourmet kitchen over looking extra deep back yard with eastern exposure. CLOSE TO MAGEE HIGH SCHOOL, MAPLE GROVE ELEMENTARY, UBC, CROFTON, ST. GEORGES PRIVATE SCHOOL, SHOPPING & BUS. MUST SEE !  "
"93","V1108240.pdf","Elegant BEST CUSTOM BUILT QUALITY HOME in the desirable Dunbar neighborhood. Offers 6000 SF of living space on 4 spacious level with 7 BDRMS. THis residences include a sensation gourmet kitchen with high end stainless appliances, separate wok kitchen, spacious open floor plan, main floor has high ceilings, hardwood floor & gas fireplace. Features include air conditioning, HRV, all appliances, sauna, hot tub, wet bar, wine cellar. HOME THEATRE. Custom designed indoor pool, secured fence yard etc. Kerrisdale Elementary & Point Grey Secondary school catchment. CROFTON & YORK HOUSE, ST GEORGES PRIVATE SCHOOLS, UBC, SHOPPING, TRANSIT. MUST SEE!  "
"94","V1108381.pdf","Custom built quality home. Super location, next to Hillcrest Park and close to QE Park, 3912 SF, lot size 43x129 (5537 SF). 5 bedrooms, 1 den, 4.5 bathrooms & 3 cars garage. Spacious layout. Top quality materials & craftsmanship, air conditioning, gourmet kitchen, home theatre, steam & sauna room, wet bar. Wolfe Elementary School and Eric Hamber Secondary School nearby. All measurements are approx. Buyer to verify. Seller seldom to live in, looks like brand new house.  "
"95","V1109058.pdf","VANCOUVER HOUSE! The Estates 3 bed rm, NW corner with amazing direct views of English Bay & the Mountains! The Estates finishing is over the top ... Boffi Kitchen, Sculptured Island, full height wine fridge, Herringbone hardwood flooring, dual electric blinds, Bjarke designed ensuite fixtures, Recognized as Vancouvers first Super Prime building This internationally award winning Architectural Master Piece by Bjarke Ingels. was 95% Sold out in a matter of weeks ... do not miss this opportunity to be an owner and enjoy the satisfaction of watching the building take shape until its scheduled completion in mid 2018. 52 storeys of Living Art!! Leeds Platinum building, the first for a residential tower.  "
"96","V1111101.pdf","CLOSE TO 40 ACRE BLUEBERRY FARM! Great location for a well producing blueberry farm located less than 5 minutes from Highway 99 and Highway 17. The field has been planted with Dukecrop and Bluecrop and produces about 400,000 lbs. per year. A full drip irrigation system has been installed with fertilizer injector system in place.  http://www.realtor.ca/Residential/Single-Family/15430898/5863-104TH-ST-Ladner-British... 6/2/2015  5863 104TH ST, Ladner, British Columbia V4K3N3 - V1111101 | Realtor.ca  Page 2 of 2  "
